Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,"On November 7, all 100 seats in the Virginia House of Delegates and all 40 seats in the Virginia Senate will be up for election. Do you plan to vote in the November general election?",How do you plan to vote in the general election?,"If the November 7 general election for the Virginia General Assembly were held today, which Party’s candidate would you most likely support?",Do you approve or disapprove of Governor Glenn Youngkin’s job performance?,Do you approve or disapprove of President Joe Biden’s job performance?,"Microschools, sometimes referred to as learning pods, is the reimagining of the one-room schoolhouse, where class sizes are usually fewer than 15 students of varying ages, and the schedule and curriculum are tailored to fit each individual class. Would you support or oppose micro-schools in your area?","School choice allows parents to use tax dollars designated for their child’s education to send their child to the public, private, or micro-school that they believe is best for their child. Do you support or oppose school choice?","Do you believe parents should have access to as many quality school options, such as public, private, charter, and hybrid-school models, for their child?","Recently, schools have been accused of excluding parents from their child’s education. Do you agree that parents should have a significant influence on their children’s education, or should they defer to teachers and administrators?","According to a 2014 study, a school choice program centered on tax credits found that students who didn’t utilize the choice options and remained in public schools suffered no adverse effects, and evidence suggests these students actually benefited from this program. Does knowing this make you more or less likely to support school choice?","Property taxes determine the bulk of local school district funding, meaning that areas with lower property values receive less local funding for their schools than more affluent districts. Knowing that a child’s residence determines the public school they are assigned to, are you more or less likely to support school choice?","According to a study, school choice improves residential home values. Does knowing this make you more or less likely to support school choice?",Statewide studies have shown that increased school choice options have positively affected test scores in reading and math. Does knowing this make you more or less likely to support school choice?,Are you more or less likely to support your state delegate or state senator if they voted for school choice?,"Education Savings Accounts are taxpayer funds allocated for a student’s education and can be used for any education-related expenses – including online homeschool programs, private school tuition, tutoring, and school supplies. Do you support or oppose Education Savings Accounts?",School voucher programs assist low-income families by allowing for public education funds to pay for a child’s tuition at a school of their choice. Do you support school voucher programs?,"Intra-district school choice allows families to choose any school in their district, whereas inter-district school choice allows families to choose from any school in a defined region or statewide. Would you support either of these options?","Do you personally identify with this statement: “I used to have doubts about school choice, but I am more open to the idea of creating an option for kids who are struggling.”",Do you think Virginia has enough school choice options for families working to educate their children?,Do you agree or disagree with the following statement: “School choice is a partisan issue.”,"Virginia Republicans have proposed a plan that would allow for abortions until 15 weeks of pregnancy. After 15 weeks, abortions would still be allowed in cases of rape, incest, and the life of the mother. Do you support this plan?",Do you support building a casino in Richmond?,What ideology is most in line with your views?,What is the highest level of education you have completed so far?,What is your age?,Are you male or female?,What is your Race?,What Party do you most align with?,Completion Code
124,10/7/23 14:02,10/7/23 14:02,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=knzh,1696704998_6521a9e613d613.41511253,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A136U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",,166.181.89.214,-93.47579956,37.1228981,United States,Republic,MO,65738,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,Support,No,Conservative,High School,65 or older,Male,White,Republican,knzh
125,10/8/23 6:33,10/8/23 6:33,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=xpat,1696704890_6521a97a931574.02608242,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,174.196.133.179,-77.32810211,38.84759903,United States,Fairfax,VA,22030,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,More likely,More likely,More likely,Unsure,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Support,Yes,Moderate,High School,55 – 64,Male,White,Republican,xpat
126,10/7/23 14:02,10/7/23 14:02,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=velo,1696705003_6521a9ebd2a400.53314258,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1",,166.137.240.34,-76.53890228,39.33610153,United States,Baltimore,MD,21206,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Support,Yes,Unsure,Makes no difference,Makes no difference,More likely,More likely,More likely,Support,Yes,Unsure,Yes,Unsure,Agree,Unsure,No,Moderate,Graduate degree or higher,45 – 54,Male,White,Independent,velo
127,10/7/23 14:03,10/7/23 14:03,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=prqg,1696705179_6521aa9b6c4f79.10452930,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,70.174.124.237,-76.49880219,37.07369995,United States,Newport News,VA,23606,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Oppose,Oppose,No,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Unsure,Yes,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Unsure,Oppose,Yes,Moderate,Graduate degree or higher,35 – 44,Male,White,Other,prqg
128,10/7/23 14:03,10/7/23 14:03,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=gfhx,1696705100_6521aa4cdd8589.64306882,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,204.111.119.243,-78.60350037,38.8429985,United States,Edinburg,VA,22824,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Support,Yes,Conservative,High School,55 – 64,Male,White,Republican,gfhx
129,10/8/23 9:05,10/8/23 9:05,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ekve,1696705061_6521aa25f30fd9.35735194,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/117.0.5938.117 Mobile/15E148 Safari/604.1",,162.245.132.169,-77.47000122,37.49280167,United States,Richmond,VA,23224,I already voted,Vote early in person,Republican,Disapprove,Approve,Unsure,Oppose,Unsure,Parents should defer to teachers and administrators,Less likely,Less likely,Less likely,,Less likely,,,,,,Agree,Oppose,Unsure,Conservative,High School,45 – 54,Male,White,Republican,ekve
130,10/7/23 14:03,10/7/23 14:03,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=aejf,1696704889_6521a979b044a4.18741470,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,172.56.29.186,-75.26249695,39.93610001,United States,Lansdowne,PA,19050,Yes,Undecided,Democrat,Disapprove,Approve,Unsure,Unsure,Yes,Parents should have a significant influence,Less likely,Less likely,Less likely,Less likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,Oppose,No,Liberal,College,65 or older,Female,Other,Democrat,aejf
131,10/7/23 14:04,10/7/23 14:04,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=qmem,1696705171_6521aa9396fe15.42023775,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,75.75.67.163,-78.63079834,38.40390015,United States,Elkton,VA,22827,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Oppose,Oppose,No,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Support,No,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Agree,Oppose,No,Moderate,Graduate degree or higher,55 – 64,Male,White,Independent,qmem
132,10/7/23 14:04,10/7/23 14:04,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=pmmb,1696705236_6521aad46e20b1.57354028,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1",,204.111.238.28,-79.3167038,39.43389893,United States,Oakland,MD,21550,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,More likely,More likely,More likely,Support,Yes,Unsure,No,"No, families should have more choices",Disagree,Oppose,Unsure,Conservative,College,55 – 64,Male,White,Republican,pmmb
133,10/7/23 14:26,10/7/23 14:26,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=agrw,1696705297_6521ab11070805.10309919,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,166.137.244.118,-75.22660065,39.98429871,United States,Philadelphia,PA,19131,Yes,Vote early in person,Democrat,Disapprove,Approve,Oppose,Support,Yes,Unsure,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Unsure,No,Conservative,Graduate degree or higher,55 – 64,Male,White,Democrat,agrw
134,10/7/23 14:04,10/7/23 14:04,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=fjkx,1696705316_6521ab2433da17.76056873,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",,72.84.205.105,-77.39499664,37.46120071,United States,Henrico,VA,23228,I already voted,Vote early by mail,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Less likely,Makes no difference,Makes no difference,Makes no difference,More likely,Unsure,No,Unsure,Yes,Unsure,Agree,Support,Unsure,Conservative,College,55 – 64,Female,White,Republican,fjkx
135,10/7/23 14:04,10/7/23 14:04,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=yjbw,1696705277_6521aafd887928.33121524,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,70.16.236.231,-77.46019745,37.55369949,United States,Richmond,VA,23220,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Unsure,Support,Yes,Parents should defer to teachers and administrators,More likely,More likely,More likely,More likely,Makes no difference,Unsure,Unsure,"Yes, I support both",Yes,Unsure,Agree,Oppose,Yes,Moderate,College,18 – 34,Male,White,Democrat,yjbw
136,10/7/23 14:05,10/7/23 14:05,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=mbuc,1696705218_6521aac2e6ddd4.37894733,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,75.249.242.97,-97.8219986,37.75099945,United States,,,,Yes,Vote early in person,Democrat,Disapprove,Approve,Unsure,Oppose,Yes,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Less likely,Oppose,Unsure,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Agree,Oppose,Unsure,Liberal,College,65 or older,Male,White,Democrat,mbuc
137,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=bqtx,1696705431_6521ab978795f7.53516004,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,173.71.159.27,-76.45020294,37.12350082,United States,Yorktown,VA,23693,Yes,Undecided,Democrat,Disapprove,Approve,Oppose,Oppose,No,Parents should defer to teachers and administrators,Less likely,Less likely,Less likely,Less likely,Less likely,Oppose,No,"Yes, I just support inter-district school choice",No,"Yes, there are enough choices already",Agree,Oppose,No,Liberal,College,35 – 44,Male,White,Democrat,bqtx
138,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=qhbj,1696705439_6521ab9fc004e5.25488021,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,174.240.215.190,-97.8219986,37.75099945,United States,,,,I already voted,Vote early by mail,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",No,"No, families should have more choices",Disagree,Support,No,Conservative,College,55 – 64,Male,White,Republican,qhbj
139,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=tfcn,1696704987_6521a9dbcb4d65.26176541,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",,166.182.252.224,-70.16480255,44.08269882,United States,,ME,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,Makes no difference,Support,No,"Yes, I support both",No,"No, families should have more choices",Agree,Unsure,Yes,Conservative,Graduate degree or higher,35 – 44,Male,White,Republican,tfcn
140,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=awgv,1696705276_6521aafcc2e9a3.43032570,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,71.246.200.233,-77.4917984,38.7492981,United States,Manassas,VA,20110,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,Support,No,Conservative,College,55 – 64,Female,Other,Republican,awgv
141,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=kync,1696705294_6521ab0eddd316.22525291,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,71.63.11.147,-77.33760071,37.62810135,United States,Mechanicsville,VA,23111,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,More likely,More likely,More likely,Unsure,Unsure,Unsure,Yes,"No, families should have more choices",Disagree,Support,No,Conservative,Graduate degree or higher,55 – 64,Female,White,Republican,kync
142,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=pjus,1696704969_6521a9c9c33786.75606807,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,71.62.200.114,-77.29000092,37.28990173,United States,Hopewell,VA,23860,Unsure,Undecided,Democrat,Disapprove,Disapprove,Oppose,Support,Yes,Parents should defer to teachers and administrators,More likely,More likely,More likely,More likely,Makes no difference,Support,Yes,Unsure,Yes,"No, families should have more choices",Disagree,Oppose,Yes,Moderate,High School,18 – 34,Male,African American,Independent,pjus
143,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=sfve,1696704952_6521a9b8b99bc6.81700685,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,174.212.101.220,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,Makes no difference,Support,Unsure,Unsure,Yes,Unsure,Unsure,Support,Unsure,Conservative,High School,65 or older,Female,White,Republican,sfve
144,10/7/23 15:39,10/7/23 15:39,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=eeji,1696705437_6521ab9d310998.62426433,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.206.42.80,-79.8973999,37.34410095,United States,Roanoke,VA,24019,Yes,Vote early in person,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,Makes no difference,More likely,Support,Yes,"Yes, I support both",No,"No, families should have more choices",Disagree,Support,No,Moderate,Graduate degree or higher,35 – 44,Female,White,Independent,eeji
145,10/7/23 14:06,10/7/23 14:06,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=gbgw,1696705264_6521aaf08c8252.53275476,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,74.110.175.65,-77.50340271,37.51470184,United States,Richmond,VA,23225,Yes,Vote on Election Day,Republican,Approve,Disapprove,Oppose,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,More likely,Unsure,Unsure,"Yes, I just support intra-district school choice",No,"No, families should have more choices",Agree,Support,Yes,Conservative,College,65 or older,Male,African American,Republican,gbgw
146,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=gzum,1696705207_6521aab7816274.06181641,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,73.86.219.184,-77.63210297,38.77009964,United States,Manassas,VA,20109,Yes,Vote on Election Day,Republican,Disapprove,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Support,Yes,Conservative,Graduate degree or higher,35 – 44,Female,Other,Republican,gzum
147,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=kmnl,1696705246_6521aade329454.99548045,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,173.53.89.206,-77.56620026,37.51150131,United States,Richmond,VA,23235,Unsure,Undecided,Republican,Approve,Approve,Support,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Unsure,Support,Yes,Moderate,College,55 – 64,Male,White,Independent,kmnl
148,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=krlk,1696705416_6521ab88023380.02825879,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",,104.28.79.176,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,Support,Yes,Conservative,College,35 – 44,Male,White,Republican,krlk
149,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ojhl,1696704998_6521a9e6b9f951.07062655,"Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A015U1) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36",,67.172.192.29,-77.50340271,37.51470184,United States,Richmond,VA,23225,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Unsure,Unsure,Yes,Parents should defer to teachers and administrators,Less likely,Makes no difference,More likely,More likely,Makes no difference,Support,Yes,"Yes, I just support intra-district school choice",Yes,Unsure,Agree,Unsure,Yes,Moderate,Graduate degree or higher,55 – 64,Female,White,Democrat,ojhl
150,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=bxqv,1696705422_6521ab8e6b2232.64844746,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,204.111.137.20,-79.06079865,38.15510178,United States,Staunton,VA,24401,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,Makes no difference,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Agree,Support,Unsure,Conservative,Graduate degree or higher,35 – 44,Male,African American,Republican,bxqv
151,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=hjhe,1696705207_6521aab71564b3.86985890,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,108.4.27.63,-77.56620026,37.51150131,United States,Richmond,VA,23235,Yes,Vote early in person,Democrat,Disapprove,Approve,Oppose,Oppose,Yes,Parents should defer to teachers and administrators,Less likely,Less likely,Makes no difference,Less likely,Less likely,Oppose,No,"No, I oppose both school choice options",No,"Yes, there are enough choices already",Agree,Oppose,Yes,Moderate,Graduate degree or higher,65 or older,Male,African American,Other,hjhe
152,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=mhah,1696705433_6521ab99e1cbc2.03385251,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,98.183.236.169,-76.53900146,37.15380096,United States,Newport News,VA,23608,Yes,Vote on Election Day,Democrat,Disapprove,Disapprove,Support,Support,Yes,Unsure,Makes no difference,More likely,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Unsure,Unsure,Unsure,Liberal,College,35 – 44,Female,White,Other,mhah
153,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ddui,1696705434_6521ab9a9732f7.27923751,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,96.238.183.100,-77.59059906,37.47280121,United States,Richmond,VA,23236,Yes,Vote on Election Day,Democrat,Disapprove,Disapprove,Unsure,Unsure,Yes,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Unsure,Unsure,Unsure,Yes,"No, families should have more choices",Unsure,Support,Yes,Conservative,College,55 – 64,Female,African American,Democrat,ddui
154,10/8/23 8:52,10/8/23 8:52,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=mymy,1696705418_6521ab8a74a6e2.65281280,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,108.18.213.123,-77.33899689,38.97800064,United States,Reston,VA,20194,Yes,Vote early by mail,Republican,Approve,Disapprove,Oppose,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Unsure,Unsure,Yes,"No, families should have more choices",Disagree,Support,No,Conservative,College,65 or older,Male,White,Republican,mymy
155,10/7/23 14:07,10/7/23 14:07,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ethk,1696705115_6521aa5b0746a5.98095469,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,98.166.120.52,-76.45809937,37.16859818,United States,Yorktown,VA,23692,Yes,Vote early in person,Democrat,Disapprove,Approve,Support,Oppose,Yes,Parents should defer to teachers and administrators,Less likely,Less likely,Less likely,Makes no difference,Less likely,Oppose,Yes,"Yes, I just support intra-district school choice",No,"Yes, there are enough choices already",Agree,Oppose,Yes,Moderate,Graduate degree or higher,65 or older,Male,White,Democrat,ethk
156,10/7/23 14:08,10/7/23 14:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=xmgo,1696704958_6521a9be515490.65149762,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.206.33.205,-79.17030334,37.54140091,United States,Monroe,VA,24574,Yes,Vote early in person,Republican,Disapprove,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,More likely,Makes no difference,More likely,More likely,Support,No,"Yes, I just support inter-district school choice",Yes,"No, families should have more choices",Disagree,Oppose,No,Conservative,College,55 – 64,Male,African American,Republican,xmgo
157,10/7/23 14:08,10/7/23 14:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=aghk,1696705325_6521ab2d383557.35212533,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",,74.110.202.110,-77.39499664,37.46120071,United States,Henrico,VA,23231,Yes,Vote on Election Day,Republican,Approve,Disapprove,,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"Yes, there are enough choices already",Disagree,Oppose,No,Conservative,College,65 or older,Female,White,Republican,aghk
158,10/7/23 14:08,10/7/23 14:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=obrh,1696705442_6521aba2568043.79470420,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,73.40.63.205,-77.47000122,37.49280167,United States,Richmond,VA,23224,I already voted,Vote early by mail,Democrat,Approve,Approve,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Unsure,Support,No,Moderate,College,65 or older,Female,African American,Democrat,obrh
159,10/7/23 14:08,10/7/23 14:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=vdpa,1696705407_6521ab7f747350.43325272,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15",,69.160.245.20,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,More likely,More likely,More likely,Support,Yes,"Yes, I support both",No,"No, families should have more choices",Disagree,Support,No,Conservative,College,65 or older,Male,White,Republican,vdpa
160,10/7/23 14:08,10/7/23 14:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ivuq,1696705438_6521ab9ef0f4e1.73172891,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,67.163.100.220,-78.18869781,38.93009949,United States,Front Royal,VA,22630,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,More likely,More likely,Makes no difference,Unsure,Yes,Unsure,Yes,"Yes, there are enough choices already",Agree,Support,No,Conservative,College,65 or older,Male,White,Republican,ivuq
